Year,Month,location,total_deaths,total_cases_per_million,new_cases_smoothed_per_million,stringency_index,weekly_hosp_admissions_per_million,Date,HICP,continent
2020,2,Paraguay,0.0,0.0,0.0,5.56,,2020-02-01 00:00:00,,
2020,2,Peru,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,2,United States,0.0,0.118,0.003,8.33,,2020-02-01 00:00:00,,
2020,2,Uruguay,0.0,0.0,0.0,0.0,,2020-02-01 00:00:00,,
2020,3,Argentina,20.0,11.778,1.271,41.67,,2020-03-01 00:00:00,,
2020,3,Bolivia,0.0,1.554,0.117,52.78,,2020-03-01 00:00:00,,
2020,3,Brazil,11.0,4.199,0.544,42.13,,2020-03-01 00:00:00,,
2020,3,Canada,11.0,25.251,2.953,43.52,,2020-03-01 00:00:00,,
2020,3,Chile,0.0,27.393,3.469,47.22,,2020-03-01 00:00:00,,
2020,3,Colombia,0.0,3.778,0.496,45.37,,2020-03-01 00:00:00,,
2020,3,Costa Rica,2.0,21.811,1.048,37.04,,2020-03-01 00:00:00,,
2020,3,Dominican Republic,2.0,6.412,0.852,19.44,,2020-03-01 00:00:00,,
2020,3,Ecuador,7.0,28.11,3.833,55.56,,2020-03-01 00:00:00,,
2020,3,Guatemala,1.0,0.672,0.088,52.78,,2020-03-01 00:00:00,,
2020,3,Honduras,0.0,2.3,0.288,93.52,,2020-03-01 00:00:00,,
2020,3,Jamaica,1.0,5.659,0.404,59.26,,2020-03-01 00:00:00,,
2020,3,Mexico,4.0,7.082,0.75,2.78,,2020-03-01 00:00:00,,
2020,3,Nicaragua,0.0,0.288,0.0,8.33,,2020-03-01 00:00:00,,
2020,3,Panama,1.0,31.076,3.564,48.15,,2020-03-01 00:00:00,,
2020,3,Paraguay,1.0,2.655,0.232,55.56,,2020-03-01 00:00:00,,
2020,3,Peru,26.0,9.339,1.137,90.74,,2020-03-01 00:00:00,,
2020,3,United States,374.0,92.864,11.607,52.31,,2020-03-01 00:00:00,,
2020,3,Uruguay,0.0,27.463,3.548,54.63,,2020-03-01 00:00:00,,
2020,4,Argentina,279.0,89.342,3.378,100.0,,2020-04-01 00:00:00,,
2020,4,Bolivia,31.0,40.33,2.548,96.3,,2020-04-01 00:00:00,,
2020,4,Brazil,2141.0,156.432,9.318,74.54,,2020-04-01 00:00:00,,
2020,4,Canada,1306.0,828.827,36.18,74.54,,2020-04-01 00:00:00,,
2020,4,Chile,126.0,496.334,20.426,75.93,32.29,2020-04-01 00:00:00,,
2020,4,Colombia,153.0,66.295,2.66,87.96,,2020-04-01 00:00:00,,
2020,4,Costa Rica,4.0,125.269,2.509,75.93,,2020-04-01 00:00:00,,
2020,4,Dominican Republic,217.0,386.06,20.241,92.59,,2020-04-01 00:00:00,,
2020,4,Ecuador,456.0,501.194,14.007,93.52,,2020-04-01 00:00:00,,
2020,4,Guatemala,7.0,13.17,0.785,93.52,,2020-04-01 00:00:00,,
2020,4,Honduras,46.0,43.804,0.89,100.0,,2020-04-01 00:00:00,,
2020,4,Jamaica,5.0,57.651,4.952,88.89,,2020-04-01 00:00:00,,
2020,4,Mexico,1305.0,105.879,6.675,82.41,,2020-04-01 00:00:00,,
2020,4,Nicaragua,1.0,1.295,0.041,24.07,,2020-04-01 00:00:00,,
2020,4,Panama,115.0,954.956,36.552,90.74,,2020-04-01 00:00:00,,
2020,4,Paraguay,8.0,29.79,0.801,94.44,,2020-04-01 00:00:00,,
